"rule_id","authority","standard","ig_version","severity","message","pattern","check_tree_preview","status","converted_at","p21_primitive","notes"
"779","CDISC","ADaM-IG","1.1,1.2,1.3","Medium","There is more than one value of RELGRy for a given value of RELGRyN, considering only those rows on which both variables are populated",NA,NA,"narrative",NA,NA,NA
"78","CDISC","ADaM-IG","1.0,1.1,1.2,1.3","Medium","At least one TRTxxP is present where xx is greater than 01 and TRxxSDT is not present",NA,NA,"narrative",NA,NA,NA
"780","CDISC","ADaM-IG","1.1,1.2,1.3","Medium","There is more than one value of RELGRyN for a given value of RELGRy, considering only those rows on which both variables are populated",NA,NA,"narrative",NA,NA,NA
"785","CDISC","ADaM-IG","1.1,1.2,1.3","Medium","There is more than one value of TOXGGRy for a given value of TOXGGRyN, considering only those rows on which both variables are populated",NA,NA,"narrative",NA,NA,NA
"786","CDISC","ADaM-IG","1.1,1.2,1.3","Medium","There is more than one value of TOXGGRyN for a given value of TOXGGRy, considering only those rows on which both variables are populated",NA,NA,"narrative",NA,NA,NA
"787","CDISC","ADaM-IG","1.1,1.2,1.3","Medium","There is more than one value of SMQzzSC for a given value of SMQzzSCN, considering only those rows on which both variables are populated",NA,NA,"narrative",NA,NA,NA
"788","CDISC","ADaM-IG","1.1,1.2,1.3","Medium","There is more than one value of SMQzzSCN for a given value of SMQzzSC, considering only those rows on which both variables are populated",NA,NA,"narrative",NA,NA,NA
"789","CDISC","ADaM-IG","1.3","Medium","BASETYPE is populated, BASE is populated, and BASE is not equal to AVAL where ABLFL is equal to Y for a given value of PARAMCD and BASETYPE for a subject",NA,NA,"narrative",NA,NA,NA
"79","CDISC","ADaM-IG","1.0,1.1,1.2,1.3","Medium","At least one TRTxxP is present where xx is greater than 01 and TRxxEDT is not present",NA,NA,"narrative",NA,NA,NA
"790","CDISC","ADaM-IG","1.3","Medium","BASETYPE is populated, ByIND is populated, and ByIND is not equal to AyIND where ABLFL is equal to Y for a given value of PARAMCD and BASETYPE for a subject",NA,NA,"narrative",NA,NA,NA
"791","CDISC","ADaM-IG","1.1","Medium","Within a given value of PARAMCD, there is more than one value of ATPT for a given value of ATPTN, considering only those rows on which both variables are populated",NA,NA,"narrative",NA,NA,NA
"792","CDISC","ADaM-IG","1.0,1.1,1.2,1.3","Medium","On a given record, a variable with a suffix of SDT has a value greater than a value of a variable with the same root and a suffix of EDT, and both variables are populated",NA,NA,"narrative",NA,NA,NA
"793","CDISC","ADaM-IG","1.0,1.1,1.2,1.3","Medium","On a given record, a variable with a suffix of STM has a value greater than a value of a variable with the same root and a suffix of ETM, and both variables are populated",NA,NA,"narrative",NA,NA,NA
"794","CDISC","ADaM-IG","1.0,1.1,1.2,1.3","Medium","On a given record, a variable with a suffix of SDTM has a value greater than a value of a variable with the same root and a suffix of EDTM, and both variables are populated",NA,NA,"narrative",NA,NA,NA
"81","CDISC","ADaM-IG","1.0,1.1,1.2,1.3","Medium","TRTxxP is present and xx is greater than 01 and TRT{xx-1}P is not present",NA,NA,"narrative",NA,NA,NA
"84","CDISC","ADaM-IG","1.0,1.1,1.2,1.3","Medium","TRTEDT is not equal to the maximum value of all TRxxEDT variables",NA,NA,"narrative",NA,NA,NA
"891","CDISC","ADaM-IG","1.0,1.1,1.2,1.3","Medium","On a given record, there is more than one value of COHORTN for a given value of COHORT",NA,NA,"narrative",NA,NA,NA
"892","CDISC","ADaM-IG","1.0,1.1,1.2,1.3","Medium","On a given record, there is more than one value of COHORT for a given value of COHORTN",NA,NA,"narrative",NA,NA,NA
"893","CDISC","ADaM-IG","1.0,1.1,1.2,1.3","Medium","On a given record, there is more than one value of ACYCLEC for a given value of ACYCLE",NA,NA,"narrative",NA,NA,NA
"894","CDISC","ADaM-IG","1.0,1.1,1.2,1.3","Medium","On a given record, there is more than one value of ACYCLE for a given value of ACYCLEC",NA,NA,"narrative",NA,NA,NA
"895","CDISC","ADaM-IG","1.1,1.2,1.3","Medium","A variable with a prefix of CRIT, a suffix of FL and containing either a one-digit or two-digit number (CRITyFL) is present and a variable with the same root without a suffix of FL (CRITy) is not present",NA,NA,"narrative",NA,NA,NA
"896","CDISC","ADaM-IG","1.2,1.3","Medium","AWU is present and AWLO, AWHI, AWTARGET, and AWTDIFF are not present",NA,NA,"narrative",NA,NA,NA
"897","CDISC","ADaM-IG","1.1,1.2,1.3","Medium","A non-missing value of TRTA is not equal to at least one value of the character actual treatment variables in ADSL defined in the IG",NA,NA,"narrative",NA,NA,NA
"898","CDISC","ADaM-IG","1.0,1.1,1.2,1.3","Medium","For a value of AD*.USUBJID that is a value of --.USUBJID, a value of AD*.--SEQ is not a value of --.--SEQ",NA,NA,"narrative",NA,NA,NA
"899","CDISC","ADaM-IG","1.0,1.1,1.2,1.3","Medium","AD*.USUBJID equals --.USUBJID, AD*.--SEQ equals --.--SEQ, and the values of a variable with prefix -- which is present in both datasets are not equal",NA,NA,"narrative",NA,NA,NA
"98","CDISC","ADaM-IG","1.0,1.1,1.2,1.3","Medium","On a given record, a variable with a suffix of SDY has a value greater than a value of a variable with the same root and a suffix of EDY, and both variables are populated",NA,NA,"narrative",NA,NA,NA
"99","CDISC","ADaM-IG","1.0,1.1,1.2,1.3","Medium","On a given record, a variable with a suffix of STDY has a value greater than a value of a variable with the same root and a suffix of ENDY, and both variables are populated",NA,NA,"narrative",NA,NA,NA
"CG0001","CDISC","SDTM-IG","3.2,3.3,3.4","Medium","DOMAIN = valid Domain Code published by CDISC",NA,NA,"narrative",NA,NA,NA
"CG0002","CDISC","SDTM-IG","3.2,3.3,3.4","Medium","--DUR collected and not derived",NA,NA,"narrative",NA,NA,NA
"CG0006","CDISC","SDTM-IG","3.2,3.3,3.4","Medium","--DY calculated as per the study day algorithm as a non-zero integer value",NA,NA,"narrative",NA,NA,NA
"CG0007","CDISC","SDTM-IG","3.2,3.3,3.4","Medium","--DY = null",NA,NA,"narrative",NA,NA,NA
"CG0010","CDISC","SDTM-IG","3.2,3.3,3.4","Medium","Metadata attribute of Variable Role = IG Role for domains in IG, Metadata attribute of Variable Role = Model Role for custom domains",NA,NA,"narrative",NA,NA,NA
"CG0011","CDISC","SDTM-IG","3.2,3.3,3.4","Medium","Variable Format = SDTM-specified controlled terminology and format guidelines for variables, when provided",NA,NA,"narrative",NA,NA,NA
"CG0012","CDISC","SDTM-IG","3.2,3.3,3.4","Medium","Variable Type = IG Type for domains in IG, Type = Model Type for custom domains",NA,NA,"narrative",NA,NA,NA
"CG0013","CDISC","SDTM-IG","3.2,3.3,3.4","Medium","Variable = Model List of Allowed Variables for Observation Class",NA,NA,"narrative",NA,NA,NA
"CG0014","CDISC","SDTM-IG","3.2,3.3,3.4","Medium","Variable present in dataset and ^= null",NA,NA,"narrative",NA,NA,NA
"CG0015","CDISC","SDTM-IG","3.2,3.3,3.4","Medium","Variable present in dataset and ^= null",NA,NA,"narrative",NA,NA,NA
"CG0016","CDISC","SDTM-IG","3.2,3.3,3.4","Medium","Variable present in dataset",NA,NA,"narrative",NA,NA,NA
"CG0017","CDISC","SDTM-IG","3.2,3.3,3.4","Medium","Split dataset names length > 2 and <= 4",NA,NA,"narrative",NA,NA,NA
"CG0018","CDISC","SDTM-IG","3.2,3.3,3.4","Medium","Split dataset names length <= 8",NA,NA,"narrative",NA,NA,NA
"CG0019","CDISC","SDTM-IG","3.2,3.3,3.4","Medium","Each record is unique per sponsor defined key variables as documented in the define.xml",NA,NA,"narrative",NA,NA,NA
"CG0020","CDISC","SDTM-IG","3.2,3.3,3.4","Medium","Value in associated codelist or 'MULTIPLE'",NA,NA,"narrative",NA,NA,NA
"CG0021","CDISC","SDTM-IG","3.2,3.3,3.4","Medium","Value in associated codelist or 'OTHER'",NA,NA,"narrative",NA,NA,NA
"CG0022","CDISC","SDTM-IG","3.2,3.3,3.4","Medium","--LNKGRP present in another domain",NA,NA,"narrative",NA,NA,NA
"CG0024","CDISC","SDTM-IG","3.2,3.3,3.4","Medium","--LNKID present in another domain",NA,NA,"narrative",NA,NA,NA
"CG0028","CDISC","SDTM-IG","3.2,3.3,3.4","Medium","--SEQ is a unique number per USUBJID per domain, or a unique number per POOLID per domain, including when the domain is split into multiple files",NA,NA,"narrative",NA,NA,NA
"CG0032","CDISC","SDTM-IG","3.2,3.3,3.4","Medium","VISITDY = TV.VISITDY","value-equals-cross-dataset-col","all: - operator: differs_by_key name: ""VISITDY"" reference_dataset: ""TV"" reference_column: ""VISITDY"" key: ""[STUDYID, VISITNUM]""","predicate","2026-04-24T09:20:55Z",NA,NA
"CG0037","CDISC","SDTM-IG","3.2,3.3,3.4","Medium","--SOCCD = --BDSYCD",NA,NA,"narrative",NA,NA,NA
"CG0039","CDISC","SDTM-IG","3.2,3.3,3.4","Medium","--BODSYS = --SOC",NA,NA,"narrative",NA,NA,NA
"CG0041","CDISC","SDTM-IG","3.2,3.3,3.4","Medium","AESER = 'Y'","ae-severity-aeser-y","all: - any: - operator: equal_to name: AESCAN value: 'Y' - operator: equal_to name: AESCONG value: 'Y' - operator: equal_to name: AESDISAB value: 'Y' - operator: equal_to name: AESDTH value: 'Y' - operator: equal_to name: AESHOSP value: 'Y' - operator: equal_to name: AESLIFE value: 'Y' - operator: equal_to name: AESOD value: 'Y' - operator: equal_to name: AESMIE value: 'Y' - operator: not_equal_to name: AESER value: 'Y'","predicate","2026-04-24T04:28:19Z",NA,NA
"CG0042","CDISC","SDTM-IG","3.2,3.3,3.4","Medium","AESER = 'N'","ae-severity-aeser-n","all: - operator: not_equal_to name: AESCAN value: 'Y' - operator: not_equal_to name: AESCONG value: 'Y' - operator: not_equal_to name: AESDISAB value: 'Y' - operator: not_equal_to name: AESDTH value: 'Y' - operator: not_equal_to name: AESHOSP value: 'Y' - operator: not_equal_to name: AESLIFE value: 'Y' - operator: not_equal_to name: AESOD value: 'Y' - operator: not_equal_to name: AESER value: 'N'","predicate","2026-04-24T04:28:22Z",NA,NA
"CG0043","CDISC","SDTM-IG","3.2,3.3,3.4","Medium","AESMIE = 'Y'","ae-supp-aeosp-aesmie","all: - operator: subject_has_matching_row name: USUBJID reference_dataset: SUPPAE reference_column: QNAM expected_value: AESOSP - operator: not_equal_to name: AESMIE value: 'Y'","predicate","2026-04-24T04:29:44Z",NA,NA
